TKR,NAME,CAP,PRC,TGT,UP%,#T,%B,#A,AM,A,EXR,B,52W,2H,PET,PEF,P/S,PEG,DV,SI,EG,PP,ROE,DE,FCF,ERN,SZ,BS,SIGNAL_TRACK,SIGNAL_HORIZON
NAMS,NEWAMSTERDAM P,3.06B,25.63,51.69,101.7%,16.0,100%,3.0,+1,E,101.7%,0.1,61,N,--,-16.3,--,--,--,12.4%,10.9,--,-36.8,0.0,-1.5%,06/30,4k,I,--,30
WRBY,WARBY PARKER I,3.06B,24.76,30.46,23.0%,14.0,50%,2.0,0,E,11.5%,1.9,80,N,412.7,40.3,1.4,--,--,20.8%,-20.9,--,2.1,64.0,0.3%,06/30,3k,I,--,30
IMNM,"IMMUNOME, INC.",3.05B,26.81,36.31,35.4%,14.0,100%,3.0,0,E,35.4%,2.1,89,Y,--,-10.8,--,--,--,17.9%,-27.3,--,-64.0,0.9,-4.7%,06/30,4k,I,--,30
SBO.OL,SELVAAG BOLIG ,3.05B,32.60,40.00,22.7%,2,100%,2,0,A,22.7%,0.8,86,N,13.8,10.4,0.3,--,3.03%,--,283.1,--,9.6,171.0,-31.5%,06/30,3.5k,I,--,30
BBAR,BANCO BBVA ARG,3.05B,14.92,25.00,67.6%,4.0,--,1.0,0,E,0.0,-0.0,66,N,13.6,13.6,0.8,--,3.07%,2.2%,260.9,--,8.1,--,--,06/30,2.5k,I,--,30
INTA,"INTAPP, INC.",3.05B,39.86,39.43,-1.1%,9.0,33%,3.0,0,E,-0.4%,0.5,83,Y,--,20.4,0.6,0.7,--,6.8%,61.5,--,-9.9,7.2,5.3%,06/30,2.5k,I,--,30
WOR,WORTHINGTON EN,3.05B,62.41,65.60,5.1%,4,100%,1,0,E,5.1%,1.2,95,Y,19.9,15.1,0.5,--,1.28%,3.2%,37.0,--,15.8,34.7,0.8%,05/31,2.5k,I,--,30
AGYS,"AGILYSYS, INC.",3.05B,108.03,134.50,24.5%,8.0,100%,3.0,0,E,24.5%,0.4,74,Y,71.5,33.7,1.0,2.5,--,6.6%,-23.2,--,13.8,5.5,1.9%,06/30,3.5k,I,--,30
TFI,STATE STREET S,3.05B,44.25,--,--,--,--,--,--,,--,--,95,N,--,26.5,1.3,--,3.59%,--,--,--,--,--,--,--,2.5k,I,--,30
BREB.BR,BREDERODE SA,3.04B,103.80,128.67,24.0%,3,66%,3,--,A,15.8%,0.5,94,N,24.4,--,--,--,1.40%,--,--,--,3.0,--,2.6%,--,3k,I,--,30
VAPU.L,VANGUARD FTSE ,3.04B,60.99,--,--,--,--,--,--,,--,--,94,Y,20.4,--,--,--,--,--,--,--,--,--,--,--,2.5k,I,--,30
HACK,AMPLIFY CYBERS,3.04B,110.18,--,--,--,--,--,--,,--,--,90,Y,31.3,--,--,--,0.05%,--,--,--,--,--,--,--,2.5k,I,--,30
WIX,WIX.COM LTD.,3.04B,72.72,78.45,7.9%,22,50%,12,-2,E,3.9%,1.0,38,N,--,10.6,0.3,0.2,--,17.1%,-12864.3,-56.47,--,--,14.5%,06/30,2.5k,H,value,90
PK,PARK HOTELS & ,3.04B,15.11,15.62,3.4%,18,14%,7,+1,E,0.5%,1.3,93,Y,--,26.5,0.8,--,6.55%,22.9%,393.8,--,-4.9,135.2,35.1%,06/30,2.5k,S,value,90
KN,KNOWLES CORPOR,3.04B,35.62,43.75,22.8%,4.0,--,1.0,--,E,0.0,1.6,83,Y,42.4,22.0,0.7,--,--,9.0%,2.2,--,9.5,18.9,1.3%,06/30,2.5k,I,--,30
TEM.L,TEMPLETON EMER,3.04B,332.50,5387.30,1520.2%,1.0,--,1.0,0,A,0.0,--,93,Y,4.3,-5.4,--,--,--,--,--,--,--,--,--,--,2.5k,I,--,30
GSF.OL,GRIEG SEAFOOD ,3.03B,27.00,37.57,39.2%,8,25%,8,0,A,9.8%,0.1,34,N,90.0,9.9,0.4,--,134.18%,--,255.7,--,9.3,179.3,216.2%,12/31,3k,S,value,90
DNN,DENISON MINES ,3.03B,3.35,4.80,43.4%,1.0,100%,1.0,-11,A,43.4%,1.6,76,N,--,-85.2,--,--,--,--,118.9,--,-66.8,237.9,-3.2%,06/30,4k,I,--,30
G2X.DE,VANECK GOLD MI,3.03B,97.14,--,--,--,--,--,--,,--,--,84,Y,--,--,--,--,--,--,--,--,--,--,--,--,2.5k,I,--,30
MBX,MBX BIOSCIENCE,3.03B,62.99,88.36,40.3%,12.0,100%,2.0,+1,E,40.3%,--,87,Y,--,-15.9,--,--,--,14.3%,-71.6,--,-33.2,0.8,-1.7%,06/30,4k,I,--,30
TNET,"TRINET GROUP, ",3.03B,65.91,66.20,0.4%,7.0,--,2.0,0,E,0.0,0.9,90,Y,17.5,13.4,0.5,--,1.68%,5.7%,55.9,--,150.9,760.0,8.3%,06/30,2.5k,I,--,30
VRP,INVESCO VARIAB,3.02B,24.16,--,--,--,--,--,--,,--,--,97,N,--,--,--,--,6.09%,--,--,--,--,--,--,--,2.5k,I,--,30
PXF,INVESCO RAFI D,3.02B,80.20,--,--,--,--,--,--,,--,--,99,Y,15.3,--,--,--,2.99%,--,--,--,--,--,--,--,2.5k,I,--,30
VID.MC,"VIDRALA, S.A.",3.02B,88.10,103.79,17.8%,12.0,75%,12.0,+1,A,13.4%,0.8,93,Y,14.1,12.8,0.5,--,1.94%,--,--,--,12.9,27.3,2.8%,03/31,3k,H,value,90
CIE.MC,CIE AUTOMOTIVE,3.02B,25.45,35.97,41.3%,10.0,100%,10.0,0,A,41.3%,0.9,77,N,8.9,7.7,0.3,--,3.70%,--,--,--,19.2,94.3,9.8%,07/27,4k,H,value,90
BAMNB.AS,KONINKLIJKE BA,3.02B,11.63,13.43,15.4%,4,100%,4,0,A,15.4%,0.7,90,Y,12.8,11.2,0.4,--,2.61%,--,--,--,25.3,42.4,13.4%,07/30,3k,I,--,30
GRBK,GREEN BRICK PA,3.02B,70.25,62.00,-11.7%,3,--,3,--,A,-0.0,1.8,84,Y,10.6,10.8,0.4,--,--,0.0%,-4.7,--,16.4,14.2,0.2%,06/30,2.5k,I,--,30
SDRL,SEADRILL LIMIT,3.02B,48.21,54.00,12.0%,9.0,100%,1.0,0,E,12.0%,1.4,87,Y,1607.0,14.5,0.8,--,--,7.6%,363.6,--,0.0,26.3,1.1%,06/30,3k,I,--,30
AZE.BR,AZELIS GROUP N,3.01B,12.35,13.73,11.2%,14,57%,14,0,A,6.4%,0.5,98,Y,26.3,15.1,0.6,--,1.88%,--,--,--,4.1,64.7,7.5%,07/30,3k,H,value,90
BOH,BANK OF HAWAII,3.01B,76.19,86.83,14.0%,7.0,20%,5.0,-1,E,2.8%,0.7,88,Y,14.2,11.4,0.7,--,3.63%,0.0%,19.6,--,13.0,--,--,06/30,2.5k,I,--,30
CTY.L,CITY OF LONDON,3.01B,584.00,--,--,--,--,--,--,,--,--,97,Y,5.1,0.1,0.0,--,--,--,--,--,--,--,--,--,2.5k,I,--,30
GBF.DE,BILFINGER SE,3.01B,81.55,114.60,40.5%,5.0,100%,5.0,+2,A,40.5%,0.6,63,N,16.2,11.8,0.4,--,3.43%,--,-0.9,--,14.7,16.4,4.3%,06/30,4k,I,--,30
BHF,BRIGHTHOUSE FI,3.00B,52.24,65.00,24.4%,7.0,--,7.0,0,A,0.0,0.8,78,N,4.1,2.6,0.2,--,--,11.9%,104.8,--,13.5,178.4,661.7%,06/30,2.5k,S,value,90
ADEA,ADEIA INC.,3.00B,27.20,43.00,58.1%,4.0,100%,3.0,--,E,58.1%,1.0,79,Y,25.0,16.9,0.5,--,0.75%,12.1%,96.7,79.0,27.9,82.8,6.5%,06/30,4k,I,--,30
ROVI.MC,LABORATORIOS F,3.00B,58.65,74.36,26.8%,9,44%,9,-1,A,11.8%,0.2,68,N,16.2,17.4,0.6,--,1.63%,--,29.2,--,28.6,15.0,5.6%,06/30,3k,S,value,90
OPEN,OPENDOOR TECHN,2.98B,3.07,4.70,53.1%,9,22%,9,0,A,11.7%,3.6,28,N,--,-65.0,--,--,--,20.3%,-80.0,--,-196.9,214.9,1.6%,06/30,3k,S,value,90
REZI,RESIDEO TECHNO,2.98B,19.64,34.25,74.4%,4,100%,1,+1,E,74.4%,1.6,62,N,7.7,9.6,0.3,--,--,6.8%,-37.8,--,15.2,129.9,-63.8%,06/30,4k,I,--,30
0341.HK,CAFÉ DE CORAL ,2.98B,5.32,6.17,16.0%,2.0,50%,2.0,0,A,8.0%,0.3,76,Y,18.3,11.3,0.5,--,7.52%,--,--,-17.71,6.1,69.6,37.3%,--,3k,I,--,30
DBRG,DIGITALBRIDGE ,2.98B,15.92,16.00,0.5%,6,16%,6,0,A,0.1%,1.5,100,Y,10.0,39.8,2.5,--,0.25%,7.2%,623.1,--,10.2,12.1,12.5%,06/30,2.5k,S,value,90
WING,WINGSTOP INC.,2.98B,109.45,202.89,85.4%,29,82%,29,-1,A,70.0%,1.8,36,N,25.8,20.4,0.8,1.4,1.21%,15.7%,9.9,--,--,--,3.3%,06/30,4k,H,value,90
AVAH,AVEANNA HEALTH,2.98B,13.66,13.90,1.8%,11.0,62%,8.0,0,E,1.1%,2.0,98,Y,10.8,15.2,0.5,--,--,6.0%,186.5,--,198.6,522.7,3.5%,06/30,2.5k,H,value,90
AKR,ACADIA REALTY ,2.97B,20.37,24.71,21.3%,6,100%,2,0,E,21.3%,1.1,88,N,58.2,59.9,1.9,--,3.94%,27.9%,96.5,--,5.7,63.2,6.3%,06/30,3.5k,I,--,30
EXENS.PA,EXOSENS,2.97B,58.60,67.23,14.7%,10.0,80%,10.0,+1,A,11.8%,0.8,79,N,87.5,25.7,0.9,--,0.52%,--,--,--,12.7,59.8,1.0%,--,3k,H,value,90
CBZ,"CBIZ, INC.",2.97B,54.65,51.67,-5.5%,3.0,--,1.0,-2,E,-0.0,0.9,94,Y,26.3,12.9,0.5,1.2,--,5.1%,-38.3,--,6.5,102.1,8.1%,06/30,2.5k,I,--,30
YETI,"YETI HOLDINGS,",2.97B,40.74,54.53,33.9%,16.0,50%,8.0,+1,E,16.9%,1.7,75,N,17.9,12.1,0.5,--,--,14.1%,81.0,--,25.3,41.5,4.3%,06/30,3k,H,value,90
WTTR,SELECT WATER S,2.97B,20.80,24.00,15.4%,7,100%,2,+1,E,15.4%,1.0,92,Y,74.3,30.9,1.7,--,1.40%,4.0%,684.0,--,3.1,25.7,-2.9%,06/30,3k,I,--,30
POL.OL,POLARIS MEDIA ,2.96B,60.40,--,--,--,--,--,--,,--,-0.1,93,Y,287.6,--,--,--,5.24%,--,369.0,--,1.1,30.2,8.3%,06/30,2.5k,I,--,30
CSAN,COSAN S.A.,2.96B,3.00,3.45,14.9%,4,25%,4,0,A,3.7%,0.5,50,N,--,12.1,0.7,--,--,0.5%,73.0,--,-27.2,109.8,-42.6%,06/30,2.5k,I,--,30
ABM,ABM INDUSTRIES,2.96B,50.60,52.43,3.6%,8,100%,1,0,E,3.6%,0.7,99,Y,19.5,11.6,0.4,--,2.47%,4.6%,3.1,13.2,8.9,112.7,9.6%,07/31,2.5k,I,--,30
AEHR,AEHR TEST SYST,2.96B,90.79,130.00,43.2%,5.0,100%,1.0,+2,E,43.2%,3.1,62,Y,--,65.6,2.0,--,--,14.0%,166.7,--,-4.2,4.5,-0.1%,05/31,4k,I,--,30
COLM,COLUMBIA SPORT,2.95B,57.71,69.83,21.0%,8.0,67%,3.0,0,E,14.0%,0.9,84,N,15.1,13.8,0.6,--,2.08%,13.7%,-48.9,--,12.7,28.8,8.6%,06/30,3k,I,--,30
BANC,BANC OF CALIFO,2.95B,18.62,22.27,19.6%,11,100%,4,-1,E,19.6%,1.1,85,N,--,8.7,0.5,--,2.54%,6.9%,-446.6,--,-0.7,--,--,06/30,3.5k,I,--,30
IRON,"DISC MEDICINE,",2.95B,76.84,102.58,33.5%,13,100%,2,0,E,33.5%,2.0,77,Y,--,-10.6,--,--,--,22.3%,4.5,--,-39.1,9.4,-4.0%,06/30,4k,I,--,30
ILU.AX,ILUKA RESOURCE,2.95B,6.85,8.03,17.2%,10.0,70%,10.0,0,A,12.0%,0.8,72,Y,--,-23.1,--,--,0.88%,--,--,6.82,-18.0,63.0,-13.9%,08/19,3k,H,value,90
AMBP,ARDAGH METAL P,2.95B,4.93,5.18,5.1%,8,--,2,0,E,0.0,0.5,90,Y,98.6,16.2,0.7,--,7.98%,6.7%,29.6,--,--,--,9.0%,06/30,2.5k,I,--,30
JRDE.L,JPMORGAN ETFS ,2.95B,4382.50,--,--,--,--,--,--,,--,--,88,Y,--,--,--,--,--,--,--,--,--,--,--,--,2.5k,I,--,30
MMS,"MAXIMUS, INC.",2.95B,56.33,92.50,64.2%,2.0,100%,2.0,--,A,64.2%,0.6,56,N,8.3,6.7,0.2,--,2.29%,10.5%,37.6,--,21.1,99.5,12.0%,06/30,4k,I,--,30
MGEE,"MGE ENERGY, IN",2.94B,77.82,77.75,-0.1%,4.0,--,1.0,0,E,-0.0,0.7,88,N,19.1,18.4,0.9,--,2.63%,5.8%,-25.0,--,11.0,64.9,-7.0%,06/30,2.5k,I,--,30
IGLB,ISHARES 10+ YE,2.94B,47.72,--,--,--,--,--,--,,--,--,91,N,--,--,--,--,5.43%,--,--,--,--,--,--,--,2.5k,I,--,30
TKO.PA,TIKEHAU CAPITA,2.94B,17.04,21.39,25.5%,11.0,54%,11.0,0,A,13.8%,0.7,85,Y,13.3,10.3,0.6,--,4.80%,--,--,--,7.4,57.0,7.4%,--,3k,H,value,90
BKV,BKV CORPORATIO,2.93B,26.76,34.09,27.4%,11.0,100%,4.0,0,E,27.4%,--,82,N,9.6,14.5,0.8,--,--,13.9%,-1.4,--,14.1,53.3,-23.8%,06/30,3.5k,I,--,30
DXPE,DXP ENTERPRISE,2.93B,189.04,200.00,5.8%,2.0,100%,1.0,--,E,5.8%,1.0,91,Y,33.2,24.7,0.9,--,--,4.2%,32.7,--,18.5,166.3,2.5%,06/30,2.5k,I,--,30
SMG.SW,SMG SWISS MARK,2.93B,29.90,40.83,36.6%,9.0,66%,9.0,0,A,24.1%,--,60,N,30.5,17.8,1.1,--,1.35%,--,--,-31.85,11.0,27.3,3.1%,08/25,3.5k,H,value,90
GPK,GRAPHIC PACKAG,2.93B,9.89,12.58,27.2%,12.0,--,3.0,0,E,0.0,0.7,47,N,15.2,8.8,0.4,--,4.22%,7.6%,-83.1,-50.18,6.0,176.2,8.1%,06/30,2.5k,I,--,30
SRAIL.SW,STADLER RAIL A,2.93B,29.32,27.59,-5.9%,8.0,50%,8.0,0,A,-3.0%,0.6,92,Y,27.9,14.2,0.5,--,1.71%,--,--,48.11,12.6,114.3,-0.6%,08/26,2.5k,S,value,90
JMAT.L,JOHNSON MATTHE,2.93B,2320.00,2984.05,28.6%,8.0,50%,8.0,0,A,14.3%,0.9,71,N,--,9.0,0.4,--,4.45%,--,--,--,-4.2,70.3,-14.7%,--,3k,H,value,90
APAM,ARTISAN PARTNE,2.92B,41.06,39.25,-4.4%,4.0,40%,5.0,0,E,-1.8%,1.7,86,Y,9.8,10.2,0.6,--,8.32%,6.4%,20.9,--,64.6,57.1,10.0%,06/30,2.5k,I,--,30
DNOW,DNOW INC.,2.92B,16.15,18.75,16.1%,4.0,100%,2.0,0,E,16.1%,0.9,94,Y,--,19.6,0.7,--,--,9.8%,-184.0,--,-11.6,30.9,-18.3%,06/30,3k,I,--,30
SOUN,"SOUNDHOUND AI,",2.92B,6.57,12.71,93.5%,8.0,50%,2.0,-1,E,46.8%,2.8,30,N,--,-44.5,--,--,--,39.9%,60.8,--,-32.2,1.1,-1.6%,06/30,4k,I,--,30
CARG,"CARGURUS, INC.",2.92B,32.77,41.38,26.3%,15.0,75%,8.0,0,E,19.7%,1.2,80,N,16.9,10.9,0.7,0.7,--,13.2%,10.0,--,53.5,70.0,8.3%,06/30,3.5k,H,value,90
TR,TOOTSIE ROLL I,2.91B,38.65,--,--,2.0,50%,2.0,--,A,--,0.4,86,N,30.4,--,--,--,0.93%,7.9%,-62.6,--,10.3,1.4,2.0%,06/30,2.5k,I,--,30
FNTN.DE,FREENET AG,2.91B,24.68,26.98,9.3%,10.0,30%,10.0,0,A,2.8%,0.2,73,N,12.1,10.2,0.7,--,8.48%,--,-42.4,--,17.7,60.7,20.6%,06/30,2.5k,S,value,90
FIZZ,NATIONAL BEVER,2.91B,31.10,32.00,2.9%,1,--,2,0,E,0.0,0.8,77,N,15.9,15.1,0.6,--,--,18.2%,-27.7,--,34.0,9.3,3.6%,04/30,2.5k,I,--,30
TRI.PA,TRIGANO S.A.,2.91B,152.40,187.62,23.1%,8.0,100%,8.0,0,A,23.1%,1.1,85,N,11.5,9.5,0.4,--,2.61%,--,--,--,12.3,9.0,16.5%,--,3.5k,H,value,90
VCT.PA,VICAT S.A.,2.90B,65.10,88.00,35.2%,5.0,80%,5.0,0,A,28.1%,0.7,80,N,10.1,8.7,0.4,--,3.04%,--,--,--,10.2,55.1,6.2%,07/29,3.5k,I,--,30
SHAK,SHAKE SHACK IN,2.89B,67.40,82.52,22.4%,26,71%,7,-1,E,16.0%,1.7,63,N,70.9,48.1,1.9,--,--,11.8%,25.4,-31.46,7.9,166.6,-1.4%,06/30,3k,H,value,90
BKD,BROOKDALE SENI,2.89B,12.09,19.25,59.2%,6,100%,1,0,E,59.2%,0.6,71,N,--,71.1,2.4,--,--,16.8%,120.3,--,-349.6,--,0.8%,06/30,4k,I,--,30
IMAX,IMAX CORPORATI,2.89B,52.66,55.65,5.7%,11.0,81%,16.0,-1,E,4.6%,0.4,95,Y,72.1,25.4,1.6,--,--,20.0%,-25.4,--,11.0,62.7,3.8%,06/30,2.5k,H,value,90
UE,URBAN EDGE PRO,2.89B,20.96,24.29,15.9%,7,--,1,0,E,0.0,1.0,87,N,39.5,41.4,1.3,--,4.00%,5.3%,20.0,--,5.1,126.6,7.8%,06/30,2.5k,I,--,30
AEO,AMERICAN EAGLE,2.89B,17.22,19.70,14.4%,13,12%,8,0,E,1.8%,1.3,61,N,10.8,8.8,0.4,--,2.88%,12.8%,-69.7,--,17.6,114.1,5.0%,04/30,2.5k,S,value,90
INCH.L,INCHCAPE PLC,2.89B,837.50,1031.33,23.1%,9.0,66%,9.0,0,A,15.3%,1.0,94,Y,13.3,8.3,0.3,--,3.97%,--,--,--,19.4,272.8,16.2%,--,3k,H,value,90
EQWL,INVESCO S&P 10,2.88B,133.09,--,--,--,--,--,--,,--,--,98,Y,22.6,--,--,--,1.52%,--,--,--,--,--,--,--,2.5k,I,--,30
CLBT,CELLEBRITE DI ,2.88B,11.45,15.36,34.1%,8.0,100%,5.0,0,E,34.1%,1.1,57,N,49.8,17.5,0.5,--,--,5.4%,-68.4,--,12.4,4.3,4.3%,06/30,4k,I,--,30
GPCR,STRUCTURE THER,2.88B,40.38,104.77,159.5%,16,100%,2,-1,E,159.5%,-1.5,43,N,--,-19.2,--,--,--,11.7%,-61.6,--,-20.2,0.5,-4.1%,06/30,4k,I,--,30
BWIN,THE BALDWIN IN,2.88B,29.71,32.22,8.5%,10.0,60%,5.0,0,E,5.1%,1.0,91,Y,--,12.0,0.7,--,--,14.7%,-108.2,--,-10.7,180.5,8.8%,06/30,2.5k,I,--,30
TALO,TALOS ENERGY I,2.87B,17.16,19.44,13.3%,10.0,100%,3.0,+1,E,13.3%,0.4,93,Y,--,11.9,0.7,--,--,8.6%,256.1,--,-17.8,66.1,19.2%,06/30,3k,I,--,30
IHS,IHS HOLDING LI,2.87B,8.49,8.25,-2.8%,4.0,50%,4.0,0,A,-1.4%,0.7,95,Y,5.2,15.4,0.5,--,--,1.5%,-110.9,--,--,--,-11.3%,06/30,2.5k,I,--,30
SECT,MAIN SECTOR RO,2.87B,71.89,--,--,--,--,--,--,,--,--,98,Y,25.0,--,--,--,0.72%,--,--,--,--,--,--,--,2.5k,I,--,30
CXT,"CRANE NXT, CO.",2.86B,49.60,70.17,41.5%,6,83%,6,0,A,34.4%,1.1,72,Y,20.5,10.6,0.4,--,1.44%,17.4%,-29.9,--,11.5,114.1,8.4%,06/30,4k,H,value,90
PPLI,PEOPLE INCORPO,2.86B,38.38,57.89,50.8%,11.0,80%,5.0,0,E,40.7%,1.1,79,N,6.5,14.0,0.9,--,--,15.4%,2448.1,--,9.0,27.6,2.7%,06/30,4k,I,--,30
SLDE,SLIDE INSURANC,2.86B,24.46,25.80,5.5%,5,83%,6,-1,E,4.6%,--,97,Y,5.9,6.6,0.4,--,1.13%,10.1%,21.5,--,53.9,3.2,32.0%,06/30,2.5k,H,value,90
SUL.AX,SUPER RETAIL G,2.85B,12.64,14.75,16.7%,14.0,28%,14.0,-3,A,4.7%,1.0,69,N,13.9,11.7,0.5,--,5.10%,--,--,-27.3,15.7,101.7,13.9%,08/20,2.5k,S,value,90
ZLAB,ZAI LAB LIMITE,2.85B,25.41,33.14,30.4%,12,100%,1,0,E,30.4%,0.8,73,Y,--,-12.0,--,--,--,6.8%,-41.3,--,-26.9,41.9,-2.9%,06/30,4k,I,--,30
FUL,H.B. FULLER CO,2.85B,53.04,73.29,38.2%,7.0,75%,4.0,0,E,28.6%,1.0,77,N,15.7,10.0,0.4,--,1.82%,7.4%,1.0,--,9.4,106.3,7.7%,05/31,3.5k,I,--,30
VLK.AS,VAN LANSCHOT K,2.85B,67.50,73.30,8.6%,4.0,100%,4.0,0,A,8.6%,0.8,95,Y,17.1,14.0,0.9,--,5.63%,--,--,--,13.8,--,--,08/27,3k,I,--,30
BWP.AX,BWP TRUST,2.85B,3.62,3.82,5.5%,9.0,11%,9.0,0,A,0.6%,0.5,88,N,6.5,18.0,0.6,--,5.37%,--,--,5.73,13.2,22.6,4.2%,12/31,2.5k,S,value,90
HAYW,HAYWARD HOLDIN,2.85B,13.44,17.93,33.4%,10,30%,10,0,A,10.0%,1.1,76,N,18.7,13.9,0.5,1.2,--,4.7%,89.8,--,10.4,63.3,5.8%,06/30,3k,S,value,90
SPYX,STATE STREET S,2.85B,62.73,--,--,--,--,--,--,,--,--,98,Y,24.9,--,--,--,0.84%,--,--,--,--,--,--,--,2.5k,I,--,30
MZTI,THE MARZETTI C,2.84B,104.03,146.60,40.9%,5,--,2,0,E,0.0,0.4,56,N,14.9,14.4,0.6,--,3.80%,27.1%,48.5,--,18.7,24.1,4.7%,06/30,2.5k,I,--,30
IXC,ISHARES GLOBAL,2.84B,59.27,--,--,--,--,--,--,,--,--,99,Y,15.7,--,--,--,2.70%,--,--,49.89,--,--,--,--,2.5k,I,--,30
AMR,ALPHA METALLUR,2.84B,223.74,180.00,-19.5%,4.0,--,4.0,0,E,-0.0,0.7,88,Y,--,12.3,0.5,--,--,19.1%,-122.2,61.29,-3.0,0.8,1.8%,06/30,2.5k,I,--,30
SPSC,"SPS COMMERCE, ",2.84B,79.00,75.45,-4.5%,12.0,29%,7.0,0,E,-1.3%,0.5,69,Y,38.0,14.8,0.5,--,--,10.4%,-73.2,--,8.3,0.7,6.2%,06/30,2.5k,S,value,90
LCLN,LINCOLN INTERN,2.83B,26.90,27.64,2.8%,7.0,--,3.0,0,E,0.0,--,98,Y,--,15.5,0.9,--,1.03%,1.8%,-98.1,--,--,55.3,--,06/30,2.5k,I,--,30
DJUR.CO,DJURSLANDS BAN,2.83B,1075.00,--,--,--,--,--,--,,--,0.3,91,Y,10.5,--,--,--,1.86%,--,-14.0,--,14.6,--,--,06/30,2.5k,I,--,30
HOG,HARLEY-DAVIDSO,2.83B,27.18,27.82,2.3%,16,38%,8,+1,E,0.9%,1.3,87,Y,15.1,13.5,0.5,2.2,2.65%,24.4%,-78.9,-9.41,6.1,74.0,3.9%,06/30,2.5k,S,value,90
EXTR,EXTREME NETWOR,2.83B,21.65,33.50,54.7%,8,100%,5,0,E,54.7%,1.8,64,Y,69.8,14.2,0.4,0.8,--,8.3%,221.5,--,54.6,219.6,2.9%,06/30,4k,I,--,30
TTAM,TITAN AMERICA ,2.82B,15.32,18.64,21.7%,7,50%,2,0,E,10.8%,--,78,N,16.0,12.1,0.5,--,1.03%,11.9%,-24.6,--,17.4,52.7,3.8%,06/30,3k,I,--,30
TW.L,TAYLOR WIMPEY ,2.82B,81.64,88.30,8.2%,20,35%,20,0,A,2.9%,1.3,70,N,11.7,14.7,0.6,0.6,5.08%,--,--,--,6.0,3.1,9.8%,07/31,2.5k,S,value,90
POWI,POWER INTEGRAT,2.82B,50.46,77.50,53.6%,5.0,100%,2.0,0,E,53.6%,1.5,55,N,114.7,26.9,0.8,--,1.70%,14.0%,825.1,--,3.6,--,2.6%,06/30,4k,I,--,30
TBCG.L,TBC BANK GROUP,2.82B,5120.00,5786.58,13.0%,5.0,100%,5.0,0,A,13.0%,0.7,98,Y,6.9,1.9,0.1,--,3.86%,--,12.0,--,23.7,--,--,06/30,3k,I,--,30
SPNT,SIRIUSPOINT LT,2.81B,24.15,27.67,14.6%,4,50%,4,0,A,7.3%,0.6,91,Y,5.9,8.8,0.5,--,--,5.0%,-24.4,--,23.1,30.8,7.3%,06/30,3k,I,--,30
RDW,REDWIRE CORPOR,2.81B,11.23,14.69,30.8%,9,67%,3,-1,E,20.5%,3.1,42,Y,--,-38.1,--,--,--,18.5%,0.4,--,-18.2,5.5,-0.9%,06/30,3.5k,I,--,30
FBK,FB FINANCIAL C,2.80B,55.99,66.34,18.5%,8.0,100%,2.0,0,E,18.5%,0.9,89,N,14.8,10.9,0.7,--,1.47%,5.3%,150.9,--,11.1,--,--,06/30,3.5k,I,--,30
AMBA,"AMBARELLA, INC",2.80B,63.48,89.36,40.8%,14,60%,5,-1,E,24.5%,2.1,66,N,--,56.6,1.7,--,--,11.2%,55.7,--,-9.4,2.0,1.2%,07/31,3.5k,I,--,30
SIX3.DE,SIXT SE,2.80B,59.70,--,--,1.0,100%,1.0,0,A,--,1.0,92,Y,9.2,8.2,0.3,--,5.37%,--,-54.3,--,15.0,212.2,20.3%,06/30,2.5k,I,--,30
1873.HK,VIVA BIOTECH H,2.80B,1.35,2.87,112.0%,1.0,--,1.0,--,A,--,1.4,41,N,12.3,6.2,0.2,--,--,--,--,-51.61,5.6,22.6,14.0%,08/26,2.5k,I,--,30
SMR.AX,STANMORE RESOU,2.79B,3.10,3.35,8.0%,3,66%,3,-1,A,5.3%,--,96,Y,--,26.5,1.1,--,3.98%,--,--,80.89,-5.2,19.2,-2.6%,--,2.5k,I,--,30
KD,KYNDRYL HOLDIN,2.79B,12.79,14.20,11.0%,6.0,--,1.0,0,E,0.0,1.7,38,N,34.6,5.1,0.1,--,--,13.6%,-180.9,--,6.9,422.5,95.2%,06/30,2.5k,I,--,30
ALHC,ALIGNMENT HEAL,2.79B,13.46,24.08,78.9%,14,100%,2,0,E,78.9%,1.1,54,N,70.8,17.9,0.6,--,--,11.7%,880.4,--,20.0,124.7,6.8%,06/30,4k,I,--,30
JUN3.DE,JUNGHEINRICH A,2.79B,27.40,35.45,29.4%,11.0,72%,11.0,0,A,21.2%,1.8,72,N,74.1,9.1,0.3,--,1.09%,--,1.7,--,1.5,130.0,22.8%,06/30,3.5k,H,value,90
MNSO,MINISO GROUP H,2.79B,9.36,15.40,64.5%,17.0,--,1.0,-2,E,0.0,0.1,36,N,15.3,6.3,0.2,--,6.97%,2.4%,-165.6,--,11.8,126.8,82.0%,06/30,2.5k,I,--,30
DAC,DANAOS CORPORA,2.79B,153.07,164.50,7.5%,2.0,100%,1.0,+1,E,7.5%,0.9,98,Y,5.2,6.2,0.2,--,2.32%,8.4%,16.2,--,14.1,29.8,0.2%,06/30,3k,I,--,30
CWK.L,CRANSWICK PLC,2.79B,5220.00,6269.50,20.1%,10,90%,10,+1,A,18.1%,0.6,90,N,18.0,15.4,0.6,2.9,2.16%,--,--,--,15.2,23.3,1.9%,--,3.5k,H,value,90
